#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
350.0,2953,345.365302
105.0,1849,347.965023
455.0,4845,354.761388
115.0,1551,356.960177
85.0,1527,359.346724
185.0,2289,362.399122
80.0,1121,363.754244
290.0,2767,367.676793
405.0,4289,374.03665
295.0,3199,378.413227
330.0,3093,382.550336
75.0,1065,391.448808
270.0,2297,394.57198
120.0,2035,397.394263
460.0,4221,403.544535
215.0,2461,407.085215
245.0,2893,411.280879
335.0,3667,416.61232
240.0,2165,419.831807
225.0,3371,424.385612
180.0,1933,427.265131
185.0,2155,430.115759
140.0,2009,432.834049
160.0,2547,436.414356
140.0,2077,439.407287
340.0,2521,443.290696
95.0,1917,445.582001
375.0,2423,448.396914
570.0,3741,452.647959
430.0,3071,456.270567
210.0,3317,460.084837
170.0,1841,462.318469
235.0,2037,464.649021
70.0,1161,465.862745
710.0,4381,471.094152
525.0,2585,474.018183
195.0,2345,476.836723
265.0,3301,480.704185
85.0,1433,482.418154
210.0,1921,484.731704
200.0,1935,486.954279
110.0,1943,489.131891
245.0,2733,492.141286
240.0,3301,495.897402
150.0,1589,497.551763
210.0,3783,501.965811
105.0,1447,503.834718
150.0,1945,506.140796
340.0,2867,509.446515
240.0,2095,511.785866
80.0,1871,513.882095
275.0,2713,516.835169
155.0,1959,530.027846
130.0,1927,532.762985
185.0,2045,535.751854
435.0,3577,540.929569
205.0,2041,543.817915
245.0,3647,549.041894
120.0,1929,551.451437
390.0,2713,555.015099
270.0,2155,558.328563
195.0,1983,560.888056
540.0,3235,565.332522
380.0,3609,570.357427
125.0,2329,573.433433
255.0,2417,576.509798
140.0,2607,580.402075
170.0,2023,583.103009
310.0,3269,587.543597
250.0,2523,590.966793
155.0,1963,593.637032
120.0,1875,596.296046
495.0,2823,600.207705
115.0,2087,602.830019
285.0,2723,606.871599
535.0,3185,611.173895
165.0,2539,614.752793
135.0,1963,617.249706
235.0,2031,620.077562
105.0,1489,622.086884
390.0,2655,625.604194
220.0,3461,630.337317
95.0,2061,632.812422
145.0,1501,635.21572
185.0,2459,638.52831
115.0,2015,641.575234
535.0,3597,646.097197
425.0,4067,651.98483
200.0,2053,654.607118
210.0,2969,658.579807
195.0,2393,662.080453
480.0,5169,675.136552
105.0,1593,677.55589
160.0,1911,680.005004
315.0,2715,683.649881
110.0,2023,686.382127
695.0,4285,692.45378
80.0,1129,694.157758
180.0,1921,696.557384
260.0,2405,699.745611
145.0,1887,702.635087
195.0,2057,705.195216
185.0,1931,708.331304
265.0,2209,711.001342
150.0,1929,713.622179
595.0,3397,718.167778
300.0,3299,722.74704
75.0,1403,724.583739
160.0,2001,727.500193
440.0,3053,731.614372
465.0,3777,736.706777
145.0,1893,739.204027
115.0,1717,741.903572
105.0,1159,743.128692
295.0,2193,746.300353
210.0,2111,748.997131
75.0,1133,750.268349
115.0,1635,752.576912
380.0,3689,757.428169
295.0,2927,761.502093
465.0,2781,765.052271
200.0,2001,767.617532
290.0,2783,771.085128
510.0,3693,775.769758
235.0,2347,778.769227
325.0,3035,783.549803
190.0,2079,786.234529
195.0,2471,790.207987
225.0,1941,792.750169
145.0,1999,795.528182
470.0,4779,802.134906
390.0,3119,806.362796
225.0,2399,809.474467
220.0,3441,820.774268
160.0,2513,825.135221
255.0,2413,829.877036
200.0,2769,835.07526
450.0,2321,838.37133
105.0,1423,840.636108
185.0,2087,844.134859
145.0,1687,846.857843
150.0,1683,849.562352
55.0,1759,852.322961
195.0,2093,855.275866
125.0,1451,857.687691
255.0,2101,860.596411
85.0,1449,862.638523
235.0,2707,866.399588
230.0,2383,870.279391
215.0,3355,875.0077
135.0,2067,877.83427
65.0,1601,880.672544
365.0,2893,884.897537
200.0,1979,888.46475
245.0,2593,893.022353
250.0,2663,897.321322
180.0,2077,900.206719
275.0,3121,904.361846
240.0,3361,909.330316
305.0,3365,913.951999
405.0,3403,918.785239
55.0,1417,920.678404
220.0,2087,923.759326
130.0,2025,926.530359
260.0,3103,930.995668
285.0,2053,933.634235
125.0,1225,935.588572
275.0,2357,938.915196
300.0,3293,943.560742
175.0,1563,945.945174
190.0,3463,950.511092
235.0,2153,953.793039
255.0,2103,956.420948
60.0,1583,958.87458
270.0,2883,963.057222
280.0,3259,967.605976
255.0,2613,971.153475
155.0,1599,983.333231
240.0,2805,987.080532
145.0,1971,990.230667
55.0,1497,991.997109
225.0,2329,995.450404
110.0,1867,998.251721
415.0,3203,1002.933805
215.0,2545,1006.349557
165.0,2097,1009.703554
60.0,1195,1011.190514
295.0,2413,1014.602329
430.0,3311,1018.961806
55.0,1105,1020.561647
115.0,2079,1023.43146
190.0,2015,1026.107215
330.0,2593,1030.065138
200.0,2327,1033.37349
185.0,2371,1036.70772
185.0,1931,1039.416689
245.0,2395,1043.276486
305.0,2631,1047.035091
440.0,2859,1051.05316
150.0,1781,1053.758341
75.0,1535,1055.610719
95.0,1575,1058.040568
165.0,2525,1061.504459
315.0,2707,1065.380299
455.0,2929,1069.31205
85.0,1371,1071.302737
160.0,1887,1074.017695
350.0,2789,1078.210058
340.0,2779,1082.007093
265.0,2537,1085.857993
45.0,1127,1087.292352
240.0,2487,1090.529845
90.0,1575,1092.833102
20.0,1493,1094.669103
205.0,2241,1097.688358
115.0,1619,1099.987298
220.0,1829,1102.411362
100.0,1293,1104.099285
245.0,2985,1108.519527
115.0,1257,1110.284596
495.0,4997,1117.47724
130.0,1093,1119.054173
75.0,1289,1120.65688
425.0,2769,1124.692407
260.0,2397,1135.097901
215.0,2009,1137.970533
55.0,1675,1140.394367
85.0,1739,1142.922285
10.0,1435,1144.825841
