#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
400.0,3945,3512.688878
540.0,4279,3518.100226
240.0,2707,3521.795526
700.0,3219,3525.836972
625.0,3313,3530.057446
520.0,3288,3534.404175
695.0,3425,3538.826544
290.0,2706,3542.464167
280.0,2623,3545.979091
505.0,3657,3550.656546
415.0,3135,3554.774161
865.0,7089,3563.834028
515.0,3727,3568.889035
700.0,7239,3578.309258
380.0,2199,3581.239132
335.0,2709,3584.635047
775.0,4042,3589.533904
200.0,1885,3592.114015
840.0,6467,3612.514217
420.0,3253,3616.723903
465.0,4049,3621.965095
440.0,3931,3627.103865
555.0,3567,3631.481813
545.0,4115,3636.789386
1000.0,4975,3643.133548
600.0,4049,3648.282939
840.0,7069,3657.660005
805.0,5869,3665.192882
800.0,4039,3670.54587
400.0,3075,3674.706425
305.0,2722,3678.223347
745.0,4125,3683.408046
310.0,3027,3687.799452
200.0,2069,3690.483366
470.0,3067,3694.185598
575.0,4015,3699.458786
415.0,3275,3703.382717
705.0,4037,3708.876338
510.0,4197,3714.510765
555.0,4867,3720.749438
755.0,4367,3726.242126
575.0,4782,3732.680586
555.0,4531,3752.932257
970.0,3963,3758.378627
615.0,2817,3762.182631
600.0,4705,3768.102092
365.0,3709,3772.953981
630.0,4953,3779.331584
330.0,3407,3783.872617
890.0,4221,3789.087549
545.0,4947,3795.65177
415.0,3683,3800.441504
515.0,4182,3806.062272
440.0,2569,3809.562703
605.0,3937,3814.350098
440.0,4577,3820.426513
555.0,3879,3825.371874
115.0,1487,3827.52305
360.0,2747,3831.024691
325.0,2241,3834.10481
225.0,2003,3836.488713
555.0,4055,3841.828065
530.0,4000,3847.05717
540.0,4139,3852.614161
530.0,3541,3856.854218
375.0,2769,3860.984426
665.0,3893,3866.167271
475.0,3369,3870.375501
480.0,3133,3874.441689
710.0,3633,3878.853846
555.0,3271,3883.062869
570.0,4203,3904.747667
390.0,2570,3908.123682
415.0,3009,3912.096786
600.0,3775,3916.806966
405.0,2953,3921.015247
570.0,3597,3925.443667
570.0,4593,3931.599123
340.0,2801,3935.145859
600.0,3955,3940.249186
575.0,3845,3944.880393
570.0,4148,3950.335899
605.0,4159,3955.745904
700.0,3749,3960.67446
605.0,3761,3965.617655
730.0,4177,3971.173773
420.0,3493,3975.724035
545.0,4441,3981.436265
720.0,4277,3987.229654
585.0,4418,3993.101325
350.0,2817,3996.622929
1255.0,6541,4005.013965
435.0,3521,4009.456431
975.0,3564,4014.510732
225.0,2813,4018.567809
745.0,3690,4023.387303
445.0,3139,4027.653693
880.0,6705,4049.40417
420.0,4119,4054.597836
570.0,4161,4060.325663
225.0,2419,4063.572483
485.0,3899,4068.670291
600.0,4441,4074.767396
575.0,3514,4080.678898
415.0,3019,4085.162286
750.0,3893,4091.698615
465.0,3317,4096.714655
290.0,2865,4101.625629
600.0,4447,4108.736972
520.0,3891,4114.969345
665.0,3739,4120.951159
815.0,2775,4125.271474
405.0,4435,4132.244315
410.0,2839,4136.876755
380.0,3415,4142.2525
745.0,3988,4148.587078
350.0,2334,4152.43241
95.0,1419,4154.207291
1005.0,4177,4160.074841
610.0,4105,4165.883804
370.0,2473,4169.085318
435.0,3521,4174.015056
470.0,4045,4179.474715
960.0,4991,4186.307904
520.0,3920,4191.817485
410.0,2502,4205.982832
680.0,3767,4210.978997
390.0,3643,4215.751056
525.0,4109,4221.463999
600.0,4185,4227.541694
485.0,2843,4231.356597
800.0,4041,4236.572014
445.0,3115,4241.247705
670.0,4129,4247.307985
455.0,3711,4252.032234
345.0,2689,4255.880666
545.0,3052,4260.136483
530.0,4802,4266.831029
375.0,3311,4271.399947
685.0,3839,4277.036288
365.0,2591,4280.55246
780.0,5077,4287.990763
470.0,3315,4292.448685
290.0,2609,4296.23326
545.0,3223,4300.769442
770.0,4655,4306.890742
580.0,3567,4312.915663
805.0,3621,4318.032205
740.0,3945,4323.643835
435.0,4181,4329.293239
330.0,2394,4332.66903
530.0,3449,4337.543336
500.0,3687,4342.857148
550.0,3107,4360.231435
595.0,3621,4365.297662
805.0,4113,4371.423925
490.0,4247,4377.217465
665.0,6081,4385.99277
330.0,2220,4389.050394
600.0,4695,4395.924999
1295.0,7545,4406.426954
585.0,3537,4411.121815
245.0,2445,4414.909615
740.0,3874,4419.649611
500.0,4047,4426.335513
535.0,3441,4431.28028
285.0,2949,4435.942447
715.0,4837,4442.47207
605.0,4073,4449.090803
600.0,4835,4456.639549
300.0,2609,4460.272573
435.0,4163,4466.400952
575.0,3703,4471.693507
600.0,3759,4477.110251
695.0,3601,4482.162196
1675.0,11933,4499.210182
250.0,2641,4503.453628
600.0,3959,4525.146064
400.0,3739,4530.592744
470.0,4073,4536.55613
485.0,3297,4541.44198
380.0,3264,4546.165552
425.0,2241,4549.264086
805.0,3377,4554.897501
860.0,4727,4561.271134
380.0,2755,4565.005412
375.0,2599,4568.806655
380.0,2979,4573.263255
410.0,4365,4579.620861
440.0,3591,4584.659806
575.0,3507,4589.855786
340.0,3133,4594.390252
570.0,4737,4601.237835
1010.0,7817,4612.110822
600.0,4029,4617.528092
610.0,3573,4622.580807
740.0,5729,4630.948609
850.0,6337,4639.80426
575.0,3647,4644.842938
425.0,2796,4648.782847
550.0,3545,4653.773724
675.0,3669,4659.048254
660.0,3281,4663.83534
350.0,2767,4679.852699
545.0,3633,4685.095354
495.0,3359,4689.98291
715.0,3587,4694.814144
515.0,4173,4700.795299
400.0,3214,4705.304398
1290.0,7197,4715.400055
465.0,3449,4720.0669
600.0,5147,4726.993928
505.0,3361,4731.970569
560.0,3725,4737.457918
800.0,4425,4743.344453
740.0,3517,4748.335877
405.0,2988,4753.161419
630.0,4649,4760.150103
660.0,3477,4765.852004
660.0,3379,4770.498656
300.0,2559,4773.856152
780.0,4001,4779.444853
525.0,4588,4785.47283
250.0,2199,4788.282181
415.0,4175,4794.29314
500.0,3505,4799.237118
500.0,4201,4804.87551
1215.0,7039,4814.443977
820.0,3347,4819.079273
540.0,3178,4836.440108
570.0,3443,4840.708179
570.0,3579,4845.52085
310.0,2677,4848.974495
450.0,3869,4854.373729
360.0,2745,4858.078904
535.0,2978,4862.003329
305.0,2733,4865.833615
475.0,3201,4870.104147
885.0,3917,4875.473351
570.0,4275,4881.032482
635.0,4983,4887.406479
330.0,2705,4891.331256
600.0,4136,4896.811554
485.0,3569,4901.49061
600.0,4133,4906.608072
545.0,4117,4912.025486
610.0,4617,4918.21753
810.0,4449,4923.691205
505.0,2917,4927.516258
750.0,3848,4932.52439
525.0,3892,4937.438244
670.0,3567,4942.289525
600.0,4301,4947.848188
800.0,4549,4953.548195
630.0,4973,4960.000509
1250.0,6373,4979.876992
460.0,3771,4984.643772
615.0,3877,4989.557755
545.0,3579,4994.221998
540.0,4689,5000.049041
530.0,3382,5004.650482
585.0,4157,5010.492222
605.0,4125,5015.700913
410.0,3531,5020.270896
600.0,4477,5026.594778
670.0,3895,5031.336915
345.0,2595,5034.681306
600.0,4067,5039.888906
685.0,5783,5047.485498
600.0,4049,5052.919857
655.0,4041,5057.960969
465.0,4641,5064.511909
705.0,3805,5069.332482
1420.0,9034,5081.347441
600.0,3781,5086.293091
455.0,4005,5091.759573
570.0,3940,5096.927283
570.0,4729,5103.347737
1000.0,4045,5108.43676
805.0,4101,5127.044038
460.0,4693,5133.278375
425.0,3769,5138.269894
600.0,4241,5143.923478
1360.0,7765,5153.863253
570.0,4236,5159.207825
545.0,3984,5164.392081
750.0,3768,5169.426845
480.0,3285,5173.650399
550.0,4142,5178.720523
900.0,6208,5186.943359
520.0,3989,5191.856665
770.0,4110,5197.319634
945.0,4162,5202.602765
280.0,2541,5205.867907
525.0,3327,5210.325106
545.0,4211,5215.866145
715.0,5089,5222.346956
1165.0,7175,5231.384968
695.0,6427,5239.404448
600.0,4627,5245.354421
600.0,4709,5251.255943
675.0,5113,5270.303551
370.0,2747,5273.87347
230.0,2945,5277.80241
600.0,3873,5282.455901
525.0,3837,5287.531504
360.0,2525,5290.891871
800.0,4503,5296.56132
600.0,4119,5302.277512
470.0,2947,5306.125239
605.0,3245,5310.356218
345.0,2531,5313.538501
940.0,4259,5318.861789
710.0,3827,5323.65155
770.0,4083,5328.808217
800.0,4385,5334.319194
495.0,3633,5339.18751
485.0,3155,5343.225075
770.0,4407,5349.256955
1325.0,7979,5359.732251
575.0,4749,5366.250537
1075.0,7769,5376.306419
720.0,4545,5382.22703
720.0,4815,5388.227753
695.0,3655,5393.111355
